project_id,state,district,work_category,project_description,sanctioned_amount_inr,implementing_agency,sanction_date,expected_completion_date,actual_completion_date,fraud_label,fraud_type
MPLAD-A72DF0,Bihar,Gaya,Drinking Water Plant,Installation of clean drinking water filtration unit in Gaya Gram Panchayat 3,490834.81,Contractor_30,2025-06-14,2025-10-24,2025-10-24,0,None
MPLAD-69122C,Bihar,Aurangabad_BR,Solar Street Light,Electrification via 25 solar street lights across Aurangabad_BR Gram Panchayat 4,71290.34,Contractor_13,2025-06-15,2025-11-17,2025-11-02,0,None
MPLAD-C948AA,Jammu And Kashmir,Srinagar,Road Repair,Concreting and repair of internal village road at Srinagar Gram Panchayat 8,772355.87,Contractor_2,2025-09-13,2026-01-07,2025-12-27,0,None
MPLAD-5A487B,Uttar Pradesh,Kanpur,Road Repair,Repair of internal road in Kanpur Sector 30,859862.75,Contractor_8,2025-12-30,2026-06-08,2026-06-06,0,None
MPLAD-0CE743,Assam,Silchar,Community Hall,Renovation and expansion of community hall in Silchar Gram Panchayat 10,1499350.2,Contractor_25,2025-05-30,2025-10-01,2025-10-01,0,None
MPLAD-D51BC0,Uttar Pradesh,Lucknow,Community Hall,Development and construction of public community center in Lucknow Zone 18,1668747.26,Contractor_1,2025-09-18,2026-01-21,2026-01-19,0,None
MPLAD-214252,Jammu And Kashmir,Srinagar,Drinking Water Plant,Installation of clean drinking water filtration unit in Srinagar Zone 25,1736978.71,Contractor_30,2025-10-28,2026-03-24,2026-03-20,1,Cost Inflation
MPLAD-778978,West Bengal,Darjeeling,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Darjeeling Block 31,2455179.35,Contractor_46,2025-12-24,2026-04-22,,1,Cost Inflation
MPLAD-EBEF26,Uttar Pradesh,Agra,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Agra Sector 29,293164.73,Contractor_7,2025-12-06,2026-03-10,2026-03-13,0,None
MPLAD-678249,Uttar Pradesh,Agra,Road Repair,Repair of internal road in Agra Block 22,882088.34,Contractor_40,2025-01-08,2025-06-30,,0,None
MPLAD-F76EC4,Assam,Dibrugarh,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Dibrugarh Zone 3,308990.2,Contractor_40,2025-06-18,2025-10-26,2025-11-04,0,None
MPLAD-AF9EB9,Tamil Nadu,Coimbatore,Solar Street Light,Installation of 25 solar street lights in Coimbatore Ward 20,69695.4,Contractor_2,2025-12-17,2026-03-28,2026-03-16,0,None
MPLAD-CCEDD9,Tamil Nadu,Madurai,Solar Street Light,Electrification via 25 solar street lights across Madurai Zone 12,71487.49,Contractor_11,2025-01-29,2025-06-15,2025-06-07,0,None
MPLAD-336A17,West Bengal,Darjeeling,Community Hall,Development and construction of public community center in Darjeeling Block 1,1331587.34,Contractor_30,2025-07-15,2025-12-26,2025-12-25,0,None
MPLAD-808753,Bihar,Aurangabad_BR,Drinking Water Plant,Installation of clean drinking water filtration unit in Aurangabad_BR Gram Panchayat 17,517761.09,Contractor_30,2025-03-22,2025-08-03,,0,None
MPLAD-7AD8CF,Jammu And Kashmir,Srinagar,Drinking Water Plant,Borewell drilling and installation of community water purification unit in Srinagar Block 2,469921.7,Contractor_43,2025-07-16,2025-11-13,2025-11-09,0,None
MPLAD-EFAD15,Maharashtra,Hingoli,School Boundary Wall,Construction of security compound wall around Zilla Parishad school in Hingoli Block 15,286468.82,Contractor_41,2025-10-17,2026-02-20,2026-02-12,0,None
MPLAD-5599F4,Uttar Pradesh,Lucknow,Community Hall,Renovation and expansion of community hall in Lucknow Zone 24,1548356.47,Contractor_47,2025-12-14,2026-06-02,2026-05-27,0,None
MPLAD-343916,Karnataka,Belagavi,Community Hall,Building multipurpose cultural community hall in Belagavi Zone 33,1336053.35,Contractor_18,2025-06-01,2025-10-22,2025-10-11,0,None
MPLAD-A15576,Tamil Nadu,Madurai,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Madurai Ward 26,1402788.03,Contractor_36,2025-09-04,2025-12-17,2025-12-04,0,None
MPLAD-A67F3F,Maharashtra,Palghar,Drinking Water Plant,Installation of clean drinking water filtration unit in Palghar Gram Panchayat 24,459030.29,Contractor_7,2025-07-22,2025-12-27,2025-12-23,0,None
MPLAD-D3C18D,Assam,Dibrugarh,Community Hall,Renovation and expansion of community hall in Dibrugarh Block 27,1488590.75,Contractor_8,2025-11-14,2026-05-01,2026-04-18,0,None
MPLAD-6FE192,Tamil Nadu,Trichy,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Trichy Gram Panchayat 24,1318138.72,Contractor_43,2025-01-20,2025-05-04,2025-05-06,0,None
MPLAD-630B93,Rajasthan,Udaipur,Road Repair,Paver block fixing and road repair work in Udaipur Sector 24,783825.35,Contractor_14,2025-03-21,2025-07-01,2025-07-05,0,None
MPLAD-6203D1,Karnataka,Bengaluru Urban,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Bengaluru Urban Gram Panchayat 18,296681.75,Contractor_13,2025-05-01,2025-10-25,2025-10-30,0,None
MPLAD-C274FB,Bihar,Gaya,Solar Street Light,Installation of 50 solar street lights in Gaya Block 16,83980.22,Contractor_9,2025-08-21,2026-02-09,2026-01-25,0,None
MPLAD-0CE91D,West Bengal,Tamluk,Road Repair,Bituminous macadam road repair and pothole filling in Tamluk Block 10,741041.12,Contractor_9,2025-10-11,2026-02-07,2026-01-27,0,None
MPLAD-420F67,Bihar,Patna,Road Repair,Asphalt resurfacing and repair of main road in Patna Block 2,750130.84,Contractor_12,2025-03-31,2025-07-15,2025-07-25,0,None
MPLAD-502C91,Assam,Guwahati,Drinking Water Plant,Installation of clean drinking water filtration unit in Guwahati Zone 7,455239.9,Contractor_29,2025-08-04,2025-11-10,2025-11-19,0,None
MPLAD-17F07A,Maharashtra,Palghar,Road Repair,Repair of internal road in Palghar Gram Panchayat 28,744309.95,Contractor_44,2025-11-11,2026-04-08,2026-03-24,0,None
MPLAD-9994C6,Bihar,Patna,Solar Street Light,Supply and erection of 20 LED solar street lights at Patna Zone 21,74805.38,Contractor_25,2025-08-16,2025-12-25,2025-12-12,0,None
MPLAD-C01F06,Assam,Silchar,Road Repair,Repair of internal road in Silchar Zone 14,806111.37,Contractor_28,2025-08-21,2026-01-13,2026-01-20,0,None
MPLAD-95E7F4,Karnataka,Mysuru,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Mysuru Block 17,323285.46,Contractor_24,2025-07-31,2025-12-19,2025-12-07,0,None
MPLAD-D6CBDB,Bihar,Patna,Community Hall,Development and construction of public community center in Patna Ward 4,1574728.41,Contractor_38,2025-08-31,2025-12-09,2025-11-27,0,None
MPLAD-6EBB32,Bihar,Aurangabad_BR,Road Repair,Paver block fixing and road repair work in Aurangabad_BR Sector 19,812336.68,Contractor_39,2025-12-10,2026-04-24,,0,None
MPLAD-C99D4D,Assam,Guwahati,Drinking Water Plant,Boring and installation of RO drinking water plant in Guwahati Zone 24,2109038.15,Contractor_8,2025-10-23,2026-02-09,2026-02-01,1,Cost Inflation
MPLAD-1DB491,Assam,Silchar,Drinking Water Plant,Boring and installation of RO drinking water plant in Silchar Block 2,507410.0,Contractor_12,2025-08-08,2026-01-23,2026-01-25,0,None
MPLAD-C7F792,Karnataka,Mysuru,Drinking Water Plant,Borewell drilling and installation of community water purification unit in Mysuru Gram Panchayat 5,520269.88,Contractor_10,2025-06-08,2025-09-06,2025-08-26,0,None
MPLAD-CFE262,West Bengal,Darjeeling,Solar Street Light,Fitting 20 solar powered street lamps in Darjeeling Block 6,236621.87,Contractor_4,2025-09-29,2026-02-19,2026-02-09,1,Cost Inflation
MPLAD-94EB6C,Maharashtra,Pune,Community Hall,Renovation and expansion of community hall in Pune Gram Panchayat 27,1362963.96,Contractor_18,2025-11-13,2026-03-17,2026-03-15,0,None
MPLAD-B8ED4C,Karnataka,Mysuru,Community Hall,Building multipurpose cultural community hall in Mysuru Zone 20,1601977.26,Contractor_3,2025-02-28,2025-06-12,2025-06-18,0,None
MPLAD-1CA395,Maharashtra,Thane,Community Hall,Civil construction work of Samaj Mandir / Community Hall at Thane Block 19,1458105.36,Contractor_21,2025-11-03,2026-02-27,2026-02-18,0,None
MPLAD-B8ED50,Uttar Pradesh,Varanasi,Solar Street Light,Electrification via 30 solar street lights across Varanasi Block 5,65154.6,Contractor_26,2025-08-09,2025-12-25,2025-12-17,0,None
MPLAD-5D2A0B,Bihar,Muzaffarpur,Solar Street Light,Setup of 20 high-mast solar illumination units in Muzaffarpur Sector 26,73724.39,Contractor_2,2025-08-24,2026-02-03,2026-01-31,0,None
MPLAD-201978,Jammu And Kashmir,Jammu,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Jammu Zone 26,467187.32,Contractor_34,2025-11-13,2026-03-29,2026-03-17,0,None
MPLAD-77E238,Karnataka,Bengaluru Urban,Solar Street Light,Electrification via 40 solar street lights across Bengaluru Urban Sector 34,72915.33,Contractor_33,2025-06-08,2025-10-18,2025-10-05,0,None
MPLAD-A34478,Karnataka,Belagavi,Community Hall,Construction of community hall in Belagavi Block 13,1662369.09,Contractor_12,2025-06-28,2025-12-17,2025-12-09,0,None
MPLAD-3EDD27,Bihar,Gaya,Road Repair,Bituminous macadam road repair and pothole filling in Gaya Zone 29,730573.96,Contractor_44,2025-12-02,2026-05-21,2026-05-30,0,None
MPLAD-28D1FF,Karnataka,Belagavi,Road Repair,Paver block fixing and road repair work in Belagavi Block 18,828598.37,Contractor_38,2025-11-16,2026-03-26,2026-03-13,0,None
MPLAD-B9B345,Tamil Nadu,Trichy,Solar Street Light,Fitting 10 solar powered street lamps in Trichy Sector 33,72038.84,Contractor_25,2025-02-07,2025-07-04,2025-06-30,0,None
MPLAD-DAACEA,Jammu And Kashmir,Jammu,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Jammu Ward 4,304819.76,Contractor_29,2025-01-22,2025-07-14,2025-07-18,0,None
MPLAD-D91A9F,Bihar,Gaya,Solar Street Light,Setup of 30 high-mast solar illumination units in Gaya Zone 11,81219.34,Contractor_24,2025-06-25,2025-09-28,2025-09-27,0,None
MPLAD-D7C813,Rajasthan,Jodhpur,Drinking Water Plant,Installation of clean drinking water filtration unit in Jodhpur Block 7,541793.68,Contractor_36,2025-07-18,2025-10-20,2026-03-26,1,Delayed Completion
MPLAD-20BED2,Uttar Pradesh,Kanpur,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Kanpur Gram Panchayat 9,287048.82,Contractor_39,2025-12-03,2026-03-13,2026-03-02,0,None
MPLAD-A37806,Karnataka,Bengaluru Urban,Solar Street Light,Electrification via 10 solar street lights across Bengaluru Urban Gram Panchayat 33,71191.64,Contractor_24,2025-07-12,2025-10-30,2026-03-08,1,Delayed Completion
MPLAD-31A80B,West Bengal,Howrah,Solar Street Light,Supply and erection of 10 LED solar street lights at Howrah Block 7,72251.95,Contractor_33,2025-04-03,2025-09-02,2025-08-22,0,None
MPLAD-13C78F,Maharashtra,Mumbai Suburban,Road Repair,Asphalt resurfacing and repair of main road in Mumbai Suburban Ward 11,867023.97,Contractor_47,2025-09-27,2026-03-15,2026-03-12,0,None
MPLAD-2BD27A,West Bengal,Darjeeling,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Darjeeling Zone 16,272621.55,Contractor_20,2025-07-06,2025-12-21,2025-12-29,0,None
MPLAD-A6A4CC,Karnataka,Belagavi,School Boundary Wall,Fencing and perimeter boundary wall development for public school in Belagavi Block 25,324238.46,Contractor_33,2025-04-10,2025-09-20,,0,None
MPLAD-047EDE,West Bengal,Tamluk,Road Repair,Concreting and repair of internal village road at Tamluk Sector 34,783732.17,Contractor_8,2025-03-24,2025-07-24,2025-07-24,0,None
MPLAD-66CF52,Tamil Nadu,Trichy,Drinking Water Plant,Boring and installation of RO drinking water plant in Trichy Gram Panchayat 23,458387.51,Contractor_2,2025-03-24,2025-08-26,2025-08-24,0,None
MPLAD-773FDE,Karnataka,Bengaluru Urban,School Boundary Wall,Reconstruction of damaged perimeter boundary wall for primary school in Bengaluru Urban Sector 21,273195.41,Contractor_7,2025-09-15,2026-02-01,,0,None
MPLAD-A59A9D,Maharashtra,Palghar,Drinking Water Plant,Construction of community drinking water facility and supply pipeline in Palghar Zone 1,529138.06,Contractor_6,2025-03-12,2025-08-09,2025-07-29,0,None
MPLAD-D31B14,Assam,Silchar,Solar Street Light,Fitting 15 solar powered street lamps in Silchar Block 8,70118.48,Contractor_4,2025-03-18,2025-09-01,2025-08-20,0,None
MPLAD-EDFDD5,Jammu And Kashmir,Srinagar,Community Hall,Building multipurpose cultural community hall in Srinagar Sector 33,1467930.22,Contractor_37,2025-11-15,2026-02-27,2026-02-27,0,None
MPLAD-61FF05,Rajasthan,Jaipur,Community Hall,Renovation and expansion of community hall in Jaipur Sector 34,1587417.73,Contractor_24,2025-05-30,2025-11-14,2025-11-17,0,None
MPLAD-9D414E,Assam,Silchar,Solar Street Light,Installation of 40 solar street lights in Silchar Gram Panchayat 24,84068.07,Contractor_17,2025-10-06,2026-03-15,2026-03-15,0,None
MPLAD-A489DF,Karnataka,Bengaluru Urban,Solar Street Light,Electrification via 40 solar street lights across Bengaluru Urban Block 9,72141.88,Contractor_3,2025-02-04,2025-07-28,2025-08-06,0,None
MPLAD-91C85D,Uttar Pradesh,Agra,Drinking Water Plant,Deep tube-well drilling and solar water purification plant setup at Agra Gram Panchayat 3,504601.37,Contractor_19,2025-11-26,2026-05-24,2026-05-14,0,None
MPLAD-EDE6D3,Maharashtra,Mumbai Suburban,Community Hall,Renovation and expansion of community hall in Mumbai Suburban Sector 13,1317522.51,Contractor_19,2025-04-13,2025-08-20,2025-08-22,0,None
